project_id,latitude,longitude,neighbourhood_cleansed,price,room_type,accommodates,bedrooms,beds,host_is_superhost,number_of_reviews,reviews_per_month,review_scores_rating,minimum_nights,availability_365,amenities_count,bathrooms,NEAR_DIST,House_Buffer_metro_500Join,House_Buffer_metro_100Join,House_Buffer_bus_500Join,House_Buffer_bus_100Join,count_shop_500m,count_rest_500m,count_commercial_500m,dist_to_beach,dist_to_park,dist_to_water,dist_to_tour
6337,22.27607,114.18264,Wan Chai,3600,Entire home/apt,16,1,1,0,0,0,0,1,365,5,1,943.3346551297245,0,0,113,1,37,200,237,3511.3740849406336,23.41511202358725,651.8466027598411,546.2752212341759
6339,22.2817581,114.1862564,Wan Chai,372,Entire home/apt,2,0,1,0,7,1.5,4.71,5,323,14,1,586.2182116977277,0,0,104,1,38,180,218,4109.842014401298,156.2407948058525,587.9070269586117,237.5249224895228
6340,22.296691427675828,114.1710321320635,Yau Tsim Mong,316,Entire home/apt,2,1,1,1,5,2.03,4.8,1,85,13,1,434.7168130815048,1,0,88,1,55,249,304,3682.676863325533,103.14101530353015,215.16248157786515,192.90914202306348
6342,22.27984,114.17981,Wan Chai,390,Private room,2,1,1,0,7,1.78,4.57,1,256,28,1,467.84822869388927,1,0,155,8,57,274,331,3971.484280903932,190.12363593052825,212.2036993750872,475.0049675038438
6343,22.279738597139783,114.1783862090506,Wan Chai,382,Private room,1,1,1,0,3,1.08,5,1,248,27,1,346.88367535729395,1,0,139,2,49,242,291,3991.6057169910114,269.40928083350514,188.687290169314,533.0756038110376
6344,22.27769,114.17409,Wan Chai,1388,Entire home/apt,6,2,4,0,1,0.3,5,1,111,32,1,464.65500748494105,1,0,169,23,62,338,400,3902.567700793112,160.01798204720154,299.3668824301801,724.9700617689774
6345,22.2780587897667,114.17823692824788,Wan Chai,543,Private room,2,1,1,0,0,0,0,1,206,17,1,473.11812254569855,1,0,158,14,51,247,298,3814.541097760124,158.16438271895996,326.8535559985167,709.9164798538527
6346,22.27891,114.1783,Wan Chai,418,Private room,1,1,1,0,0,0,0,1,207,12,1,402.4688693706663,1,0,163,11,49,244,293,3904.460719651167,201.9509485963709,248.30599533456464,620.0992583471527
6347,22.2827683,114.1488165,Central & Western,832,Entire home/apt,2,2,2,0,1,1,5,1,133,25,1,701.4440115498547,0,0,40,6,33,203,236,3063.141513269501,25.74138342323268,306.9518978738401,516.6544282973663
6349,22.278638528634904,114.17623082038024,Wan Chai,388,Private room,1,1,1,0,0,0,0,1,330,11,1,334.088408081312,1,0,157,9,58,268,326,3931.676385053412,103.37269270397888,242.3694881836769,668.288789258836
